,state_name_x,name_of_city,description of the city_x
98,WEST BENGAL,Bidhan Nagar ,"Bidhannagar is a city and a municipal corporation of the North 24 Parganas in the Indian state of West Bengal. It is in Greater Kolkata region and also a part of the area covered by the Kolkata Metropolitan Development Authority (KMDA). It consists of sub areas like Rajarhat and Salt lake, which were planned and developed between 1958 and 1965 to accommodate the burgeoning population of Kolkata.  Bidhannagar Travels in Salt Lake City is one of the most trustworthy names in the field. They have received a 4.0 rating from their customers. To make the transactional experience hassle-free for customers , they accept multiple modes of payment such as Cash, Cheques. "
99,BIHAR,Biharsharif ,"Bihar Sharif, also spelled Biharsharif, also called Bihar, city, south-central Bihar state, northeastern India. It is located east of the Paimar River, a tributary of the Ganges (Ganga) River.

Bihar Sharif served as the capital of the Pala dynasty (10th century CE) and contains a 5th-century-CE Gupta pillar and several mosques and Muslim tombs, the best known being the tomb of the 14th-century Sufi warrior Syed Ibrahim Malik Biya atop Pir Pahadi Hill. Nearby lie the remains of Odantapuri, a great vihara, or college of Buddhist learning, from which the name Bihar was derived. In 1869 the city was constituted a municipality. It is now a road and rail hub as well as an agricultural trade centre. It has several colleges affiliated with Magadh University at Bodh Gaya. Nalanda, a Buddhist monastic centre, lies southwest of Bihar Sharif. Bangpur Durga puja. Celebrated widely. edit
Mosque of Makhdum Shah Sharif-ud-din. Named after a Muslim saint of 14th century. edit
Pawapuri (14 km south from this town). Sacred place for the Jain community. Famous for beautiful temples of God Mahavir. edit
1 Rajgrih (Rajgir) (Some 28 km away). Place of God Budhha. Beautiful temples and pagodas attract thousands of visitor every year. You will simply love the natural beauty of this place. Located in the lap of mountains and cascades. General believe is that the natural hot water of Brahm Kund here can heal several diseases. Its natural source of hot water still is a mystery for scientists. edit
2 Ruins of Nalanda University (15 km away). Used to be one of the top most university in the world since ancient time, till 12th century when it was destroyed by Muslim invaders of that time which were jealous of Buddhism. edit
Tomb of Malik Ibrahim Vaya, Peer Pahari (At Bari Pahari). A beautiful ancient tomb constructed on top of the rocky hill. Nearby are the ruins, which are believed to be ruins of Jarasandh Jail. The beautiful natural view from the top of the hill is very attractive. edit
Tomb of Saint Baba Maniram. The scene around the temple is very calm and beautiful. "
100,KARNATAKA,Bijapur ,"The Bijapur district is historically, traditionally and legendarily, one of the richest districts in the state. The evidence found here reveals that it was an inhabited place since the Stone Age. The history of this district is divided into four periods, from the Chalukya acquisition of Badami till the Muslim invasion.

Early Western Chalukya period lasting from about A.D. 535 to about A.D.757. Rastrakuta period from A.D. 757 to A.D.973. Kalachuri and Hoysala period from A.D. 973 to about A.D.1200. Devagiri Yadava period from A.D.1185 to the Muslim conquest of Devagiri in A.D. 1312. Some of the prominent ones are Gol Gumbaz, Bijapur Fort, Citadel, Bara Kaman, Malik-E-Maidan, Ibrahim Rouza, Chand Bawdi, Archaeological Museum and many more. Winter months from October to March is a good time to visit the city. Despite the heritage monuments, the city lacks many tourism facilities.  THE CITY OF VICTORY

Vijaypura (Bijapur) experienced a great burst of architectural activity under the Adil Shahi rulers. It is also famous for the hand-made sarees of llkal. Vijaypura (Bijapur) is also the best base from where to reach other exceptional heritage sites such as Aihole, Badami and Pattadakal."
101,RAJASTHAN,Bikaner ,"Prior to the mid 15th century, the region that is now Bikaner was a barren wilderness called Jangladesh.[citation needed]

Rao Bika established the city of Bikaner in 1488. He was the first son of Maharaja Rao Jodha of the Rathore clan, the founder of Jodhpur and conquered the largely arid country in the north of Rajasthan. As the first son of Jodha he wanted to have his own kingdom, not inheriting Jodhpur from his father or the title of Maharaja. He therefore decided to build his own kingdom in what is now the state of Bikaner in the area of Jangladesh. Though it was in the Thar Desert, Bikaner was considered an oasis on the trade route between Central Asia and the Gujarat coast as it had adequate spring water. Bika's name was attached to the city he built and to the state of Bikaner (""the settlement of Bika"") that he established. Bika built a fort in 1478, which is now in ruins, and a hundred years later a new fort was built about 1.5 km from the city centre, known as the Junagarh Fort.  One of the earlier established cities, Bikaner still displays its ancient opulence through palaces and forts, built of red sandstone, that have withstood the passage of time. The city boasts of some of the world's best riding camels and is aptly nicknamed 'camel country' . Is Bikaner worth a visit? I would 100% recommend that you add Bikaner to your list, you won't be disappointed! Bikaner has so much to offer visitors in terms of forts, palaces, temples, food, sweets, shopping, and the mysteries of the desert too"
102,CHHATTISGARH,Bilaspur ,"Historically, Bilaspur was controlled by the Kalachuri dynasty of Ratanpur. The city, however, came into prominence around 1741, the year of the Maratha Empire rule. The Bilaspur city is approximately 400 years old and the name ÂBilaspurÂ has been originated from the Fisher-woman named ÂBilasaÂ.

Bilaspur district was constituted in year 1861 and followed by Bilaspur municipality in year 1867. Bilaspur district is not only famous in Chhattisgarh state but also in India due to its unique characteristics like rice quality, Kosa industry and its cultural background. Bilaspur district has a major contribution in the naming ÂDhan Ka KatoraÂ for the entire Chhattisgarh region. Bilaspur is a city in Chhattisgarh, India. It has many popular attractions, including Fort Bahadurpur, Madku Dweep, Kutaghat Dam, making it well worth a visit. Bilaspur is a city in Chhattisgarh, India. It has many popular attractions, including Fort Bahadurpur, Madku Dweep, Kutaghat Dam, making it well worth a visit.  Bilaspur is known for its aromatic rice variety named 'Doobraj' rice, Handloom woven colourful soft Kosa silk sarees."
103,JHARKHAND,Bokaro Steel City ,"This district of Bokaro was created on 1st April, 1991 by taking out Chas and Chandankiyari C.D.Blocks of Dhanbad district and the entire Bermo Subdivision of Giridih district and then merging them to form a new district. Bokaro district is bounded on the east by Dhanbad district and some portion of West Bengal State, on the west by Ramgarh district, on the south by Purulia district of West Bengal and on the north by parts of Giridih, Hazaribag and Dhanbad districts. The district extends between 23o26Â  to 23o57Â North Latitude and 85o34Â to 86o26Â East Latitude. The district is located at an elevation of 200-546 m. from mean sea level. The Settlement Report for Manbhum, 1928 and the District Gazetteer for Dhanbad, 1964 are the sources available to trace some historical background of newly created district of Bokaro. As a matter of fact, not much information is available for Bokaro district exclusively. The District of Dhanbad was created on 24.10.1956 on the recommendation of the State Reconstitution Commission. The then district of Dhanbad consisted of two subdivisions, viz., Dhanbad Sadar & Baghmara. On 01.04.1991 the Baghmara Subdivision, known as Chas Subdivision, became part and parcel of Bokaro district.  Bokaro is the fourth largest city in Jharkhand and is a major industrial centre, most famous for its steel plant. In fact it is often referred to as 'Bokaro Steel City' of India. What Bokaro lacked in history, it made up with rapid modernisation and urbanisation.  Bokaro is famous for its steel plant, which is the biggest in Asia, as well as for its quality educational system. It is also a popular tourist destination for people from Eastern Region and also foreigners."
104,WEST BENGAL,Bongaon ,"In 1883 Bangaon subdivision was transferred from Nadia district to Jessore district.[1][2] At the time of Partition of Bengal (1947) the police station areas of Bangaon and Gaighata of Jessore district, forming Bangaon subdivision, were placed in India, and the rest of Jessore district in East Pakistan. "
105,GUJARAT,Botad ,"Botad District is situated in Saurastra which is newly made from Bhavnagar and Ahmedabad District of Gujarat State. The administrative headquarter of the district is Botad which is about92 km from Bhavnagar and 133 km From Ahmedabad by road distance.

Botad District is surrounded by Surendranagar District to the northeast, Rajkot districts to the west, Bhavnagar and Amareli to the south and Ahmedabad District to the East.

The Sukhbhadar River flows on northern border of Botad district in Ranpur taluka.The Kalubhar River flows on southern part of Botad district in Gadhada taluka.The district is situated between 71E latitude and 22 N latitude &42 E longitudes to 10N longitudes. The total area of the district is 2564 Sq.km. .Kalubhar,Sukhbhadar,Ghelo,Utavali,Goma are main rivers in the district.

District has a population of 6.52 lac as per last census-2011. District is divided in 2 Revenue Sub-Divisions & 4 Talukas. There are 3 Municipalities in the District. Clock Tower in Botad was considered as a prominent attraction once developments started taking place during the reign of Maharaja Krushna Kumar Singhaji and Takht Singhji (Bhavnagar State). The clock tower was built by Shri Damodardar Jagjivan (Shah). Today, Tower Chalk is the central business district on the city.  Explore Nearby Places
Takhteshwar Temple.
Khodiyar Mandir.
Velavadar Blackbuck National Park."
106,ORISSA,Brahmapur Town ,"Brahmapur or Berhampur as it is called, is the largest city and gateaway to Southern Odisha. The dialect and culture of Southern Odisha has a distinct South Indian touch which can be attributed that it shares its borders with Andhra Pradesh and also the fact that after the British annexed Ganjam from the French in 1759 (in the battle of Deccan), the district was Governed by the Madras Presidency under the aegis of the British Empire in India.

History
Brahmapur is also known as the Silk City due to the famous Silk Patta Sarees. The weaver community of Brahmapur (locally known as the Dera community) migrated to the city from Rajahmundry (a city in Andhra Pradesh where they were called Debanga) sometime during the period 1662-1672 on the request of the then King Harihar Narayan Dev of Mahuri Dynasty.

The city is known for its love for the theatre and cinema. Infact the Ganjam Kala Parishad and Prakasam Hall are one of the oldest theatre halls in the country. The Sri Sitaram Vials Talkies is the oldest movie hall in Odisha which was established in 1927 but closed down in 1999 after the super cyclone which hit Odisha.  "
107,UTTAR PRADESH,Budaun ,"According to the (Budaun District, Govt. Of Uttar Pradesh) stories, Budaun was named after Ahir prince Budh.[10] The local tradition regarding this city is that it was founded in 905 A.D. by an Ahir prince whose name was Budh. and after whom it was called Budaun.[11] and an inscription, probably of the 12th century, gives a list of twelve Rathore kings reigning at Budaun then called Vodam?yuta.[7] Kanauj was conquered after 1085 by Mahm?d, the son of the Ghaznavid Sult?n, driving out the R?shtrak?ta chief. This the R?shtrak?ta chief then move their capital to Vodam?yuta, where they ruled until conquered by Qutb-ud-din Aibak.[12]
Mission House of the Methodist Episcopal Church at Budaun (1895)
The first authentic historical event connected with it, however, was its capture by Qutb-ud-din Aibak in 1196, after which it became a very important post on the northern frontier of the Delhi empire. In 1223, a mosque of imposing size, crowned with a dome, was built. In the 13th century two of its governors, Shams-ud-din Iltutmish, the builder of the mosque referred above, and his son Rukn ud din Firuz, attained the imperial throne. In 1571 the town was burnt, and about a hundred years later, under Shah Jahan, the seat of the governorship was transferred to Sahaspur-Bilari. Budaun and its district was ceded to the British government in 1801 by the Nawab of Oudh.  Budaun is considered to be of immense religious significance among both Hindus and Muslims. At the first glance, with its dusty avenues and sleepy streets, it seems nothing more than a secluded small town. But there are numerous ruins and monuments that reveal many legends from its past. Casting a nostalgic charm, Budaun transports visitors to an era of mighty rulers and mystic Sufi saints like Nizamuddin Auliya - a Sufi saint. Adding to its allure is an aura of spirituality throughout the town.[17] Budaun is home to a number of ruins that can be traced back to the Mughal era. The Budaun Fort and the iconic clock tower Ghanta Ghar, are among the prominent attractions, as are the tombs of rulers such as Iltumish and Ala Ud Din Alam Shah, who was the last ruler of the Sayyid dynasty. The 13th century Jama Masjid, which was built by Iltumish and the Qadri Dargah are among the popular shrines in Budaun. Budaun also hosts the ancient Gauri Shankar Temple dedicated to Hindu God Shiva, it is India's first Rasling[18] a Shivling made by amalgamation of liquid Mercury and.Gold."
108,UTTAR PRADESH,Bulandshahr ,"The history of Bulandshahr begins even before 1200 B.C. This region is nearer to the capital of Pandavas Â Indraprasth and Hastinapur. After of decline of Hastinapur, Ahar which is situated in the north east of ditrict Bulandshahr became an important place for Pnadavas. With passes of time the king Parma made a fort on this part of region and a king named Ahibaran laid the foundation of a tower called Baran(Bulandshahr). Since it was perched on a highland it came to be known as highcity which was translated into passion language as Bulandshahr. At present this is called by this name.

The ancient ruins found at places Bhatora Veerpur, Ghalibpur etc. are symbolicof antiquity of Bulandshahr. There are several other important places in the District from where statues of medieval age and objects of ancient temples had been founded. Even today several historical and ancients objects such as coins, inscriptions etc. are preserved in Lucknow State Museum . Bulandshahr is famous worldwide for the potteries found in the Khurja region. Pilgrims from all around the world visit Bulandshahr to pay their respects at the Hanuman temple located on the bank of the holy river Ganga at Rajghat and the temple of Goddess Avantika and Lord Shiva at Ahar."
109,RAJASTHAN,Bundi ,"

South-east Region of Rajasthan is known as Hadoti, - the land of the Hadas. Hada Rajputs are a major branch of the Chauhan Agnikula (fire dynasty) Rajputs. They had settled in the hilly terrain of Mewar, at Bambaoda, near Bijolian in the 12C. Bundi was conquered in 1241 by Rao Deva Singh from the Meena tribe. This was the first step in the establishment of Hadaoti, when the Hadas moved down from the ÂPatharÂ around Bambaoda.Bundi takes its name from the Bando Naal or the narrow passage, between the rugged hills. The town of Bundi is nestled in the cleft of the Araavali hills and has a special medieval flavor quite untouched by time. Prince Jait Singh of Bundi captured Kota in 1264 , and Kota became a part of Bundi as the Jaghir (land grant) of the eldest prince of Bundi. Kota became a separate state in 1624. 


The history of Bundi dates back to 1193 A.D when Prithviraj Chauhan lost out to Mohammed Gauri. Following that few Chauhan nobles fled to certain locations in the Chambal valley, where they overpowered the Meena and Bheel tribes. However, in the 12th century A.D Bundi came under the dominance of the Chauhans and reached its highest glory in medieval times. A little later the two camps in the Hada sect established independent states of Bundi and Kota on either side of the Chambal River. After independence, Bundi was incorporated in to the state of Rajasthan.
Bundi is Said to have derived its name from the tribal chifthainÂs name-Bunda Meena, hailing from the meena tribe that dominated the region. In the 12th century A.D Hada Rao Deva conquered this territory and founded Bundi state and Hodoti. Bundi is a small town in the Hadoti region of Rajasthan, which lies 250 km away from the capital city of Rajasthan and 39 km from Kota. The town is famous for its picturesque forts, steep-wells (baolis), palaces, lakes, and reservoirs. Moti Mahal is one of the unmatched attractions of the town"
110,NCT OF DELHI,Burari ,"The Burari deaths were a ritual mass suicide[1] of eleven family members of the Chundawat family[2] from Burari, Delhi, India, in 2018. Ten people were found hanged, while the oldest family member, the grandmother, was strangled. The bodies were found on 1 July 2018; in the early morning after the death. The police have ruled the deaths were motivated by shared delusion or psychosis. Tourist Attraction Burari , Delhi
Shyam Ghat.
Burari Lake.
INDIA Gate. 
Qutab Minar. 
Gurudwara Bangla Sahib. 
Gurudwara Sis Ganj Sahib. 
C. Kingdom Of Dreams (Opening Shortly) 
Lotus Temple. "
111,MADHYA PRADESH,Burhanpur ,"Burhanpur, city, southwestern Madhya Pradesh state, central India. It lies just north of the Tapti River, about 35 miles (55 km) south of Khandwa.

Burhanpur was founded in 1399 by Na??r Khan, the first independent prince of the F?r?q? dynasty of Khandesh, and it was annexed by the Mughal emperor Akbar in 1601. The city, with its wall and massive gates, served as the Deccan headquarters of the Mughals until Aurangzeb moved the capital to Aurangabad in 1636. Burhanpur was for many years the scene of conflicts between the Marathas and Mughals and was seized in 1803 by Major General Arthur Wellesley, later 1st duke of Wellington. It was restored to the Sindhias in 1805 and ceded to the British in 1861.  Revered Burhanpur

An important outpost of the Mughals, Burhanpur was known as the gateway to southern India for its strategic location. Ruled by Shah Jahan for a very long period, it is one of the most beautiful symbols of Mughal architecture and Mughal grandeur. "
112,BIHAR,Buxar ,"Buxar district has close linkage with that of its parent district Bhojpur and has an old and an interesting history.

Buxar is famous since the epic period for being the seats of eminent saints, battlefield of Gods and Demons as per Puranas and a combat zone between foreign invasion and countrymen in modern history. The remains from archaeological excavations have established the link of Buxar with ancient civilisations of Mohanjodaro and Harappa. This place was also known as ÂSiddhashramÂ, ÂVedgarbhapuriÂ, ÂKarushÂ, ÂTapovanÂ, ÂChaitrathÂ, ÂVyaghraSarÂ, ÂBuxarÂ in ancient history. The History of Buxar dates back even prior to the period of Ramayana. The word Buxar is said to have been derived from VyaghraSar. The tiger face of Rishi Vedshira, an outcome of the curse of the sage Rishi Durvasha, was restored after bathing in a holy tank which was later named as VyaghraSar.

According to mythology, sage Vishwamitra the family guru of Lord Rama and eighty thousand saints, had their sacred ashram at the banks of holy river Ganges that reside inside the modern District Buxar. He was disturbed in the yagna (sacrificial offering) by the demons. The place where due killing of the famous Rakshasi (demoness) Tadika by Lord Rama, is said to fall within the present Buxar town area. Besides, Lord Rama and his younger brother Laxman took their teachings at Buxar. It is also said that Ahilya, the wife of Gautam Rishi restored her human body from that of stone and got salvation by a mere touch of the feet of Lord Rama. This place is presently known as Ahirauli and is situated six kilometers away from the Buxar town. The Kanwaldah Pokhara also known as VyaghraSar is a tourist spot now a days. Buxar district is known for the famed Battle Grounds of Bihar. Sita Ram Upadhyaya museum is a must visit place of Buxar and you will find valuable collections of rare artifacts, unique coins of antiquity, and well-preserved stonework and sculptures over there. Bhojpuri is the most frequent language spoken here."
113,WEST BENGAL,Champdani ,"Champdani is a city and a municipality of Hooghly district in the Indian state of West Bengal. It is under Bhadreswar police station in Chandannagore subdivision. It is a part of the area covered by Kolkata Metropolitan Development Authority (KMDA).[1] This town is famous for six factories, viz.the GIS Cotton Mill, Dalhousie Jute Mill, North Brook jute Mill, Angus jute Mill, Champdany Garbage Refinary Ltd,Lagan engineering, and Braithwate Ltd (Ministry of Railways).  Tourist Attraction Champdani , Hooghly
Baidyabati Dvc Khal (Bird Watching Area) 
Taraknath Temple. 
Bandel Church.
Kmda Park (Wonderland Park) 
Chandannagar Strand. 
Blue Lake. 
Serampore Raj Bari.
Tarakeshwar Temple. "
114,WEST BENGAL,Chandannagar ,"Urbanization of Chandernagore started centering round three localities Khalisani, Boro Kishanganj and Gondalpara. Chandannagar was established as a French colony in 1673, obtaining permission from Ibrahim Khan, the then Nawbab of Bengal, to establish a trading post on the right bank of the river Hooghly.

 

            It became a permanent French settlement in 1688. In 1730 Joseph francois  Dupleix  was appointed governor of the city. In 1756 war broke out between France and Great Britain, and the British Navy captured Chandannagar on 23 March 1757. Chandernagore was restored to the French in 1763, but recaptured by the British in 1794. The city was returned to France in 1816, along with a 3 sq miles (7.8 km2) enclave of surrounding territory. It was governed as part of French India until 1950, under the political control of the governor-general in Pondicherry, though India became independent of Britain in 1947. Chandannagar hosts many tourist places like Museums, the Strand, Churches, Temples, Rabindra Bhaban, birthplaces of many celebrities and many other spots some of which are not so well known but nevertheless a treat for tourists and historians. The Chandannagar strand. "
115,UTTAR PRADESH,Chandausi ,"Chandausi is a city and a municipal board in Sambhal district in the state of Uttar Pradesh, India.

The original name of the city was ""Chanda Si"", meaning ""moon-like"" (in Indian poetry the moon is considered to be beautiful). Actually, Chandausi is a large town which is approximately 45 km away from the city of Moradabad. It has an average elevation of 284 metres (603 feet). It is 187.5 km from New Delhi.[1][2]

On 5 September 2017 it was declared by Government that the district and session courts for Sambhal District will be established in Chandausi. Also, the district headquarter of Sambhal district is established in Bahjoi of Chandausi Tehsil.

Zonal Railway Training Institute (ZRTI) at Chandausi, Moradabad UP is the oldest (and North India's only) Railway Training Institute, where group C railway employees like Driver, Guard, Ticket Checker, Station Master, Traffic Inspector, Commercial Inspector, JE (signal & Telecom) etc. are trained for initial, promotional and refresher courses. ZRTI is an ISO 9001 Institute. Applicants pass All India Railway Examinations to get admission into the institute. ZRTI is headed by a senior Civil Services Officer. Chandausi, in the Sambhal district of Uttar Pradesh, is known mainly for its vast array of temples, and the pomp with which Ganesh Chathurthi is celebrated by the locals. The city is also known for producing and exporting mint oil and ghee all over the world."
116,CHANDIGARH,Chandigarh ,"Chandigarh, the dream city of India's first Prime Minister, Sh. Jawahar Lal Nehru, was planned by the famous French architect Le Corbusier. Picturesquely located at the foothills of Shivaliks, it is known as one of the best experiments in urban planning and modern architecture in the twentieth century in India.

Chandigarh derives its name from the temple of ""Chandi Mandir"" located in the vicinity of the site selected for the city. The deity 'Chandi', the goddess of power and a fort of 'garh' laying beyond the temple gave the city its name ""Chandigarh-The City Beautiful"".

The city has a pre-historic past. The gently sloping plains on which modern Chandigarh exists, was in the ancient past, a wide lake ringed by a marsh. The fossil remains found at the site indicate a large variety of aquatic and amphibian life, which was supported by that environment. About 8000 years ago the area was also known to be a home to the Harappans.

Since the medieval through modern era, the area was part of the large and prosperous Punjab Province which was divided into East & West Punjab during partition of the country in 1947. The city was conceived not only to serve as the capital of East Punjab, but also to resettle thousands of refugees who had been uprooted from West Punjab.

In March, 1948, the Government of Punjab, in consultation with the Government of India, approved the area of the foothills of the Shivaliks as the site for the new capital. The location of the city site was a part of the erstwhile Ambala district as per the 1892-93 gazetteer of District Ambala. The foundation stone of the city was laid in 1952. Subsequently, at the time of reorganization of the state on 01.11.1966 into Punjab, Haryana and Himachal Pardesh, the city assumed the unique distinction of being the capital city of both, Punjab and Haryana while it itself was declared as a Union Territory and under the direct control of the Central Government.  Chandigarh is best known for its architecture, lush gardens and parks, and serene lakes. It is also the gateway to hill stations like Morni Hills, Shimla, and Kasauli. Chandigarh is frequented by tourists from across Indian as well as overseas."
117,MAHARASHTRA,Chandrapur ,"The district Chandrapur was earlier known as ÂChandaÂ according to tradition and legend the name of the place was ÂLokapuraÂ which was first changed to Â IndpurÂ and subsequently to Chandrapur. During the British colonial period it was called Chanda district, which was again changed to its original name ÂChandrapur Â around 1964. Other places of the region in ancient times include wairangad, Kosala, Bhadravati and Markanda. Hindu and Buddhist kings are said to have ruled the area for a long time, Later on Gonds overtook Dana Chiefs who ruled Chandrapur around 9 th century and Gond Kings ruled the area till 1751 after which Maratha period started. Raghuji Bhosale, the last King of the dynasty, died heirless in 1853 and Nagpur province together with Chandrapur was declared annexed to British Empire.

In 1854, Chandrapur formed and independent district and in 1874, it comprised of three tehsils Viz Mul, Warora and Bramhpuri. In 1874, however, upper Godavai district of Madras was abolished and four tehsils were added to Chandrapur to form one tehsil with Sironcha as its headquarters. In 1895, the headquarters of one tehsil transferred to MUl to Chandrapur. A new tehsil with headquarter at Gadchoroli was created in 1905 by transfer of zamindari estates from Bramhpuri and Chandrapur tehsil. An small zamindari tract from Chandrapur district as transferred to newly from districts in 1907. In the same year and area of about 1560 sq. km. comprising of three divisions of the lower Sironcha tehsil namely Cherla, Albak nad Nugir were transferred to Madras State. The city has a large number of coal mines and is popularly known as &ldquo;City of Black Gold&rdquo;. The tourist places to visit in Chandrapur are Mahakali Mandir, Anchaleshwar Mandir, Ramala Garden, Chandrapur Fort, Ballarpur Fort, Deeksha Bhoomi and Tadoba National Tiger Reserve."
118,BIHAR,Chapra ,"Chapra, city, western Bihar state, northeastern India. It lies near the junction of the Ghaghara and Ganges (Ganga) rivers.

Chapra grew in importance as a river mart in the 18th century when the Dutch, French, Portuguese, and British established saltpetre refineries there. It was constituted a municipality in 1864. The city has major rail and road connections and is an agricultural trade centre. Saltpetre and linseed oil processing are the chief industries. There are several parks, several colleges affiliated with the University of Bihar, and a college affiliated with Kameshwara Singh Darbhanga Sanskrit University. Boasting of a rich cultural and historical heritage, Chapra has much to offer tourists. History and archeology enthusiasts will find much to delight them here. Visit Chirand near the banks of River Ghaghra to get a glimpse of the cityÂs pre-historic remains. Ancient artifacts related to the city dating back to more than 4,000 years can be found here. The Ashoka Pillar is another site of historical as well as religious significance near the city. It is believed that Lord Buddha visited the place before attaining Nirvana.

Chapra is also known for its venerable religious legacy. The Amba Asthan in Aami is an important place of worship dedicated to the Hindu Mother Goddess. The Grahdevi Temple in Marhaura is a popular shrine of Goddess Durga and attracts devotees from across the country. Visit the Gautam Asthan, which devotees believe is linked with the epic of Ramayana."
119,TAMIL NADU,Chennai ,"Chennai, formerly Madras, city, capital of Tamil Nadu state, southern India, located on the Coromandel Coast of the Bay of Bengal. Known as the ÂGateway to South India,Â Chennai is a major administrative and cultural centre. Chennai, the capital of Tamil Nadu is the gateway to many interesting places. This city is a beautiful blend of cultural extravaganza. The presence of glittering beaches, eateries, religious spots such as temples and churches, historical attractions and a lot more makes this city worth exploring.

Travellers come to Chennai from all parts of the world but only use this place as a transit spot in order to visit Pondicherry, Madurai, Kanchipuram, Kochi, Varkala, and many more locations. The unique attractions of the city are often ignored because of its hustling bustling life. But Chennai is way more than that. It is an important historical city with incredible places of sightseeing.  The history of Chennai goes back a long way. Previously known as Madras, a name shortened from Madraspattinam, has been mentioned in many ancient texts and scriptures. Recorded history suggests that Mudhiras, a town lying between between Penna River of Nellore and the Ponnaiyar river of Cuddalore was under Chola KingdomÂs rule. Capital of Chennai was then at Kanchipuram and city had a strategic value for trade and commute purposes.

The Dutch arrived in Chennai, India in 1612 and captured the region, establishing their rule near Pulicat. Later in 1626, The British decided to construct a factory while the French settled a few miles away at a small patch of land now known as Pondicherry.

During this time period, Chennai became a trade centre of the Southern India. A flourishing port and strategic location raised its importance. Jews and Gujarati traders also arrived here and many of them still live in this city.

Post independence, Madras city became the Capital of Tamil Nadu state. Today, this city exists as a melting pot of different lifestyles. At one part, youÂll see beautifully designed temples, and at another side youÂll find the most extravagant and happening pubs, malls and various entertainment places in Chennai. A visit to Chennai will leave you surprised with market trails, churches, cathedrals, beaches, temples and theme parks, all left for you to explore in the most detailed way possible. Since closest cities of Kerala and Karnataka are six hours away, it is always a wise decision to arrive here and then plan rest of the trip.

Today Chennai is one of the fastest growing commercial cities in India. Chennai Population is almost 70.9 lakhs. Common language spoken in Chennai is Tamil, while a majority of population speaks and understands Hindi, Kannada and Telugu as well."
120,MADHYA PRADESH,Chhattarpur ,"The Chhatarpur holds an unparalleled status of conserving the religious charm, and Indian ethnicity. Henceforth, the mesmerising monuments, treasurable landscapes, and wildlife of the town will leave you spellbound with its beauty.

Beholding the spectacular view of Raneh Falls to the Ken Gharial Sanctuary situated at the Sangam of Ken and  Khudar Rivers, the territory of Chhatarpur entail various picturesque tourist sites to discover! Moreover, the district shares several major borders such as the Panna from the east, Tikamgarh from the west, Damoh from the south, Sagar from the southwest, and lastly, Uttar Pradesh from the north.

Once considered the ÂkingÂs placeÂ of central India, Chhatarpur has tons of tourist attractions to entice visitors within and nearby the city Â Jatashankar, Bhimkund, Maharaja Chhatrasal Museum and Panna National ParkTemples to name a few. Nonetheless, the popular UNESCO world heritage site, the Khajuraho Group of Templescomes under the province of Chhatarpur which also hosts the world-renowned Khajuraho Dance Festival in the month of February each year. "
121,MADHYA PRADESH,Chhindwara ,"Being a historical city in the state of Madhya Pradesh the modern day Chhindwara city is one of the famous destinations to visit. Either from historical or religious perspective it is one of the most visited regions in Madhta Oraedsh. Presence of many distinctive monuments adds to the popularity of the city. Being the largest city in Satpura Range it houses magnificent artistic temples, museums and other important destinations for perfect retreatment.
Best time to visit Chhindwara
October-November months are the perfect time to visit Chhndwara. The temperature during this time of year is moderate. While during day the temperature ranges from 32-29 degree Celsius, the night temperature mostly fluctuates from 20-14 degree Celsius and one can enjoy the soothing weather of the autumn season. Devoid of scorching sun light, and freezing cold, the weather is perfect to spend a relaxing weekend over here. "
